Unnamed: 0,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,BMI_tags,Label,Dietary restriction,Allergies,Meal Plan
12188,26,66.43496962173789,1.632912169118122,F,24.91558505927548,1448.171,1.9,2751.5249,8,21,Low-sodium,Eggs,"{'Monday': {'breakfast': 'Oatmeal with Fresh Berries and Almond Butter', 'lunch': 'Grilled Chicken Salad with Mixed Greens and Balsamic Vinaigrette', 'dinner': 'Grilled Salmon with Roasted Vegetables and Quinoa'}, 'Tuesday': {'breakfast': 'Fruit Smoothie with Banana, Strawberries, and Almond Milk', 'lunch': 'Turkey and Avocado Wrap with Whole Grain Tortilla', 'dinner': 'Grilled Chicken with Sweet Potato and Broccoli'}, 'Wednesday': {'breakfast': 'Chia Pudding with Almond Milk, Berries, and Almond Butter', 'lunch': 'Quinoa Bowl with Roasted Vegetables and Chickpeas', 'dinner': 'Beef Stir-fry with Bell Peppers and Cauliflower Rice'}, 'Thursday': {'breakfast': 'Greek Yogurt with Granola and Mixed Berries', 'lunch': 'Tuna Salad with Mixed Greens and Lemon Vinaigrette', 'dinner': 'Baked Chicken with Brown Rice and Steamed Asparagus'}, 'Friday': {'breakfast': 'Avocado Toast with Tomato', 'lunch': 'Lentil Soup with Whole Grain Crackers', 'dinner': 'Grilled Pork Chops with Mashed Potatoes and Steamed Green Beans'}, 'Saturday': {'breakfast': 'Smoothie Bowl with Spinach, Banana, and Almond Milk', 'lunch': 'Vegetable Stir-fry with Tofu and Rice Noodles', 'dinner': 'Grilled Steak with Sweet Potato and Roasted Brussels Sprouts'}, 'Sunday': {'breakfast': 'Whole Wheat Pancakes with Maple Syrup and Fresh Fruit', 'lunch': 'Grilled Chicken Caesar Salad (no eggs in dressing)', 'dinner': 'Pasta with Marinara Sauce and Grilled Vegetables'}}"
10188,25,63.14589853855848,1.6310667420585416,F,23.735680237508227,1420.982,1.3,1847.2766,8,16,Keto,Shellfish,"{'Monday': {'breakfast': 'Avocado with Eggs', 'lunch': 'Shrimp Salad with Olive Oil', 'dinner': 'Grilled Salmon with Asparagus'}, 'Tuesday': {'breakfast': 'Chia Seed Pudding (coconut milk)', 'lunch': 'Tuna Salad with Olive Oil', 'dinner': 'Zucchini Noodles with Pesto'}, 'Wednesday': {'breakfast': 'Spinach and Bacon Omelette', 'lunch': 'Cobb Salad', 'dinner': 'Beef Stir-fry with Broccoli'}, 'Thursday': {'breakfast': 'Almond Butter with Celery', 'lunch': 'Grilled Shrimp with Avocado', 'dinner': 'Cauliflower Rice with Shrimp'}, 'Friday': {'breakfast': 'Egg Muffins with Spinach', 'lunch': 'Avocado Tuna Salad', 'dinner': 'Roasted Chicken with Brussels Sprouts'}, 'Saturday': {'breakfast': 'Coconut Yogurt with Chia Seeds', 'lunch': 'Eggplant and Mozzarella Bake (dairy-free mozzarella)', 'dinner': 'Lamb Chops with Cauliflower Mash'}, 'Sunday': {'breakfast': 'Coconut Milk Smoothie', 'lunch': 'Keto Taco Salad', 'dinner': 'Pork Belly with Roasted Vegetables'}}"
16886,34,82.80868112059204,1.6324066624370617,F,31.075573373757983,1567.672,1.3,2037.9736,9,26,Low-sodium,Peanuts,"{'Monday': {'breakfast': 'Chia Seed Pudding with Coconut Milk and Berries', 'lunch': 'Grilled Chicken Salad with Mixed Greens and Avocado', 'dinner': 'Grilled Salmon with Roasted Sweet Potatoes and Steamed Broccoli'}, 'Tuesday': {'breakfast': 'Smoothie with Banana, Spinach, Almond Milk, and Sunflower Seed Butter', 'lunch': 'Turkey Lettuce Wraps with Avocado and Tomato', 'dinner': 'Baked Chicken with Quinoa and Roasted Brussels Sprouts'}, 'Wednesday': {'breakfast': 'Oatmeal with Almond Butter and Fresh Berries (no peanuts)', 'lunch': 'Grilled Shrimp Salad with Mixed Greens and Lemon Dressing', 'dinner': 'Beef Stir-fry with Bell Peppers and Cauliflower Rice'}, 'Thursday': {'breakfast': 'Fruit Salad with Chia Seeds and Coconut Yogurt', 'lunch': 'Chicken and Avocado Salad with Olive Oil and Lemon', 'dinner': 'Grilled Pork Chops with Roasted Vegetables and Quinoa'}, 'Friday': {'breakfast': 'Smoothie Bowl with Frozen Berries, Spinach, and Almond Milk', 'lunch': 'Quinoa Bowl with Roasted Vegetables and Chickpeas', 'dinner': 'Grilled Steak with Sweet Potato Fries and Steamed Green Beans'}, 'Saturday': {'breakfast': 'Scrambled Eggs with Spinach and Avocado', 'lunch': 'Zucchini Noodles with Marinara Sauce and Ground Turkey', 'dinner': 'Baked Cod with Roasted Asparagus and Brown Rice'}, 'Sunday': {'breakfast': 'Almond Flour Pancakes with Maple Syrup and Fresh Fruit', 'lunch': 'Lentil Soup with a side of Fresh Greens', 'dinner': 'Chicken Stir-fry with Mixed Vegetables and Cauliflower Rice'}}"
12211,26,67.13141211582428,1.6324045220299144,M,25.19243834547768,1625.103,1.5,2437.6545,9,29,,Gluten,"{'Monday': {'breakfast': 'Chia Seed Pudding with Coconut Milk and Berries', 'lunch': 'Grilled Chicken Salad with Mixed Greens and Avocado', 'dinner': 'Grilled Salmon with Roasted Sweet Potatoes and Steamed Broccoli'}, 'Tuesday': {'breakfast': 'Smoothie with Banana, Spinach, Almond Milk, and Peanut Butter', 'lunch': 'Turkey Lettuce Wraps with Avocado and Tomato', 'dinner': 'Baked Chicken with Quinoa and Roasted Brussels Sprouts'}, 'Wednesday': {'breakfast': 'Oatmeal with Almond Butter and Fresh Berries (gluten-free oats)', 'lunch': 'Grilled Shrimp Salad with Mixed Greens and Lemon Dressing', 'dinner': 'Beef Stir-fry with Bell Peppers and Cauliflower Rice'}, 'Thursday': {'breakfast': 'Fruit Salad with Chia Seeds and Coconut Yogurt', 'lunch': 'Chicken and Avocado Salad with Olive Oil and Lemon', 'dinner': 'Grilled Pork Chops with Roasted Vegetables and Quinoa'}, 'Friday': {'breakfast': 'Smoothie Bowl with Frozen Berries, Spinach, and Almond Milk', 'lunch': 'Quinoa Bowl with Roasted Vegetables and Chickpeas', 'dinner': 'Grilled Steak with Sweet Potato Fries and Steamed Green Beans'}, 'Saturday': {'breakfast': 'Scrambled Eggs with Spinach and Avocado', 'lunch': 'Zucchini Noodles with Marinara Sauce and Ground Turkey', 'dinner': 'Baked Cod with Roasted Asparagus and Brown Rice'}, 'Sunday': {'breakfast': 'Almond Flour Pancakes with Maple Syrup and Fresh Fruit', 'lunch': 'Lentil Soup with a side of Fresh Greens', 'dinner': 'Chicken Stir-fry with Mixed Vegetables and Cauliflower Rice'}}"
20056,42,90.11678198012328,1.6321876642671242,M,33.82715648428453,1831.094,1.2,2197.3128,9,28,,,"{'Monday': {'breakfast': 'Scrambled Eggs', 'lunch': 'Grilled Chicken Salad', 'dinner': 'Roasted Veggies with Fish'}, 'Tuesday': {'breakfast': 'Oatmeal with Banana', 'lunch': 'Turkey Sandwich', 'dinner': 'Pasta with Vegetables'}, 'Wednesday': {'breakfast': 'Fruit Smoothie', 'lunch': 'Chicken Caesar Salad', 'dinner': 'Baked Fish with Quinoa'}, 'Thursday': {'breakfast': 'Yogurt with Nuts', 'lunch': 'Grain Bowl with Chicken', 'dinner': 'Veggie Stir-fry'}, 'Friday': {'breakfast': 'Avocado Toast', 'lunch': 'Chickpea Salad', 'dinner': 'Roasted Chicken with Veggies'}, 'Saturday': {'breakfast': 'Pancakes', 'lunch': 'Tuna Salad', 'dinner': 'Vegetable Lasagna'}, 'Sunday': {'breakfast': 'Bagel with Cream Cheese', 'lunch': 'Salmon Salad', 'dinner': 'Stuffed Peppers'}}"
10767,24,62.657724651015215,1.630833467944773,F,23.55892062650471,1420.956,1.3,1847.2428,8,16,,Eggs,"{'Monday': {'breakfast': 'Oatmeal with Fresh Berries and Almond Butter', 'lunch': 'Grilled Chicken Salad with Mixed Greens and Balsamic Vinaigrette', 'dinner': 'Grilled Salmon with Roasted Vegetables and Quinoa'}, 'Tuesday': {'breakfast': 'Fruit Smoothie with Banana, Strawberries, and Almond Milk', 'lunch': 'Turkey and Avocado Wrap with Whole Grain Tortilla', 'dinner': 'Grilled Chicken with Sweet Potato and Broccoli'}, 'Wednesday': {'breakfast': 'Chia Pudding with Almond Milk, Berries, and Almond Butter', 'lunch': 'Quinoa Bowl with Roasted Vegetables and Chickpeas', 'dinner': 'Beef Stir-fry with Bell Peppers and Cauliflower Rice'}, 'Thursday': {'breakfast': 'Greek Yogurt with Granola and Mixed Berries', 'lunch': 'Tuna Salad with Mixed Greens and Lemon Vinaigrette', 'dinner': 'Baked Chicken with Brown Rice and Steamed Asparagus'}, 'Friday': {'breakfast': 'Avocado Toast with Tomato', 'lunch': 'Lentil Soup with Whole Grain Crackers', 'dinner': 'Grilled Pork Chops with Mashed Potatoes and Steamed Green Beans'}, 'Saturday': {'breakfast': 'Smoothie Bowl with Spinach, Banana, and Almond Milk', 'lunch': 'Vegetable Stir-fry with Tofu and Rice Noodles', 'dinner': 'Grilled Steak with Sweet Potato and Roasted Brussels Sprouts'}, 'Sunday': {'breakfast': 'Whole Wheat Pancakes with Maple Syrup and Fresh Fruit', 'lunch': 'Grilled Chicken Caesar Salad (no eggs in dressing)', 'dinner': 'Pasta with Marinara Sauce and Grilled Vegetables'}}"
12567,28,67.01644747418982,1.6307902714432143,M,25.199108605329737,1609.12,1.5,2413.68,9,29,,,"{'Monday': {'breakfast': 'Scrambled Eggs', 'lunch': 'Grilled Chicken Salad', 'dinner': 'Roasted Veggies with Fish'}, 'Tuesday': {'breakfast': 'Oatmeal with Banana', 'lunch': 'Turkey Sandwich', 'dinner': 'Pasta with Vegetables'}, 'Wednesday': {'breakfast': 'Fruit Smoothie', 'lunch': 'Chicken Caesar Salad', 'dinner': 'Baked Fish with Quinoa'}, 'Thursday': {'breakfast': 'Yogurt with Nuts', 'lunch': 'Grain Bowl with Chicken', 'dinner': 'Veggie Stir-fry'}, 'Friday': {'breakfast': 'Avocado Toast', 'lunch': 'Chickpea Salad', 'dinner': 'Roasted Chicken with Veggies'}, 'Saturday': {'breakfast': 'Pancakes', 'lunch': 'Tuna Salad', 'dinner': 'Vegetable Lasagna'}, 'Sunday': {'breakfast': 'Bagel with Cream Cheese', 'lunch': 'Salmon Salad', 'dinner': 'Stuffed Peppers'}}"
12725,26,66.8460848975554,1.6307047008359106,F,25.137687900242067,1451.742,1.7,2467.9614,9,30,Vegan,,"{'Monday': {'breakfast': 'Overnight Oats with Chia Seeds, Almond Milk, and Berries', 'lunch': 'Quinoa Salad with Roasted Chickpeas, Avocado, and Mixed Vegetables', 'dinner': 'Lentil Soup with Kale and Carrots'}, 'Tuesday': {'breakfast': 'Smoothie with Spinach, Banana, Almond Milk, and Flaxseeds', 'lunch': 'Stuffed Bell Peppers with Brown Rice, Black Beans, and Salsa', 'dinner': 'Tofu Stir-fry with Broccoli, Carrots, and Tamari'}, 'Wednesday': {'breakfast': 'Chia Pudding with Coconut Milk and Fresh Mango', 'lunch': 'Vegan Buddha Bowl with Roasted Sweet Potatoes, Quinoa, and Tahini Dressing', 'dinner': 'Vegan Tacos with Black Beans, Avocado, and Pico de Gallo'}, 'Thursday': {'breakfast': 'Avocado Toast on Whole Grain Bread with Tomato', 'lunch': 'Vegan Caesar Salad with Tofu Croutons and Lemon Tahini Dressing', 'dinner': 'Chickpea Curry with Spinach and Coconut Milk, served with Basmati Rice'}, 'Friday': {'breakfast': 'Vegan Pancakes with Maple Syrup and Fresh Berries', 'lunch': 'Vegan Wrap with Hummus, Cucumbers, Spinach, and Carrots', 'dinner': 'Vegan Chili with Kidney Beans, Tomatoes, and Corn'}, 'Saturday': {'breakfast': 'Tofu Scramble with Spinach, Mushrooms, and Tomatoes', 'lunch': 'Vegan Sushi with Avocado, Cucumber, and Carrots', 'dinner': 'Zucchini Noodles with Vegan Pesto and Cherry Tomatoes'}, 'Sunday': {'breakfast': 'Acai Bowl with Granola, Banana, and Coconut Flakes', 'lunch': 'Vegan Grain Bowl with Quinoa, Roasted Veggies, and a Lemon Tahini Dressing', 'dinner': 'Vegan Stir-fry with Tempeh, Bell Peppers, and Snow Peas'}}"
19030,39,86.08311575367527,1.6316065165274722,F,32.33606099595227,1575.471,1.3,2048.1123,9,26,,,"{'Monday': {'breakfast': 'Scrambled Eggs', 'lunch': 'Grilled Chicken Salad', 'dinner': 'Roasted Veggies with Fish'}, 'Tuesday': {'breakfast': 'Oatmeal with Banana', 'lunch': 'Turkey Sandwich', 'dinner': 'Pasta with Vegetables'}, 'Wednesday': {'breakfast': 'Fruit Smoothie', 'lunch': 'Chicken Caesar Salad', 'dinner': 'Baked Fish with Quinoa'}, 'Thursday': {'breakfast': 'Yogurt with Nuts', 'lunch': 'Grain Bowl with Chicken', 'dinner': 'Veggie Stir-fry'}, 'Friday': {'breakfast': 'Avocado Toast', 'lunch': 'Chickpea Salad', 'dinner': 'Roasted Chicken with Veggies'}, 'Saturday': {'breakfast': 'Pancakes', 'lunch': 'Tuna Salad', 'dinner': 'Vegetable Lasagna'}, 'Sunday': {'breakfast': 'Bagel with Cream Cheese', 'lunch': 'Salmon Salad', 'dinner': 'Stuffed Peppers'}}"
20252,44,93.09831107602346,1.6328543951873666,M,34.91780081308062,1858.674,1.5,2788.011,9,31,Keto,Shellfish,"{'Monday': {'breakfast': 'Avocado with Eggs', 'lunch': 'Shrimp Salad with Olive Oil', 'dinner': 'Grilled Salmon with Asparagus'}, 'Tuesday': {'breakfast': 'Chia Seed Pudding (coconut milk)', 'lunch': 'Tuna Salad with Olive Oil', 'dinner': 'Zucchini Noodles with Pesto'}, 'Wednesday': {'breakfast': 'Spinach and Bacon Omelette', 'lunch': 'Cobb Salad', 'dinner': 'Beef Stir-fry with Broccoli'}, 'Thursday': {'breakfast': 'Almond Butter with Celery', 'lunch': 'Grilled Shrimp with Avocado', 'dinner': 'Cauliflower Rice with Shrimp'}, 'Friday': {'breakfast': 'Egg Muffins with Spinach', 'lunch': 'Avocado Tuna Salad', 'dinner': 'Roasted Chicken with Brussels Sprouts'}, 'Saturday': {'breakfast': 'Coconut Yogurt with Chia Seeds', 'lunch': 'Eggplant and Mozzarella Bake (dairy-free mozzarella)', 'dinner': 'Lamb Chops with Cauliflower Mash'}, 'Sunday': {'breakfast': 'Coconut Milk Smoothie', 'lunch': 'Keto Taco Salad', 'dinner': 'Pork Belly with Roasted Vegetables'}}"
